text,label
"This agreement imposes unlimited liability on the counterparty for all losses, direct and indirect",1
The provider may modify terms at any time without prior notice,1
No party may terminate this agreement for convenience at any time,1
The client waives all claims for defective performance regardless of cause,1
Vendor has sole authority to adjust pricing without consent,1
There is no cap on damages for breach of confidentiality obligations,1
The service provider is not liable for any third-party claims,1
Customer must accept all risk of delays absent any contractor fault,1
The contract allows one-sided indemnification in favor of supplier,1
The seller is entitled to rescind with no consumer remedy,1
"The buyer must indemnify seller for all losses, even those caused by seller",1
There is no termination right after first year,1
The agreement requires customer to pay liquidated damages without limit,1
Supplier determines service scope unilaterally and changes at will,1
All warranty obligations are discretionary at supplier sole view,1
"Provider may terminate service for any reason, with no transition",1
Buyer waives all statutory rights and remedies,1
No limit is set for penalty interest on late payment,1
The client must accept ambiguous deliverable descriptions,1
Vendor can impose hidden fees with no dispute process,1
There is no mechanism to cap exposure for data breach losses,1
The contract binds customer to unspecified performance standards,1
Supplier may assign debts to related parties without approval,1
Client indemnifies vendor for punitive damages in all cases,1
No formal notice period is required for contract changes,1
The provider may block service without justification,1
One party may terminate only with 180 days notice while other may not,1
Customer has no right to audit supplier compliance,1
The agreement requires customer to accept vague service levels,1
Provider can suspend services for any reason without remedy,1
The payment obligation continues despite contract termination,1
The vendor holds all intellectual property rights with no license back,1
Supplier is not responsible for any subcontractor misconduct,1
Contract language gives sole discretion to supplier for dispute outcome,1
No cap on attorney fees in case of legal action,1
The user is prohibited from terminating even for breach,1
Supplier can unilaterally extend term indefinitely,1
All obligations are one-way in favor of the provider,1
The service provider may revoke access without cause,1
The client is obligated to indemnify for client and provider losses,1
No objective criteria for performance are included,1
The buyer must accept contract modifications unannounced,1
Supplier may charge arbitrary penalties with no limits,1
The agreement contains vague confidentiality obligations,1
One-sided exclusivity clause binds customer to supplier only,1
No right to terminate if supplier provides nonconforming services,1
The provider can alter scope and refuse refunds,1
Claims period is forever with no limitation,1
This clause mandates unlimited penalty for late delivery,1
Customer has no right to dispute fees,1
Parties agree to clear division of responsibilities and defined deliverables,0
Either party may terminate for material breach with 30 days notice,0
Liability is limited to direct damages capped at contract value,0
The agreement includes a termination clause with mutual consent,0
Both parties share compliance obligations in writing,0
Supplier must provide services in accordance with agreed quality levels,0
Customer may audit supplier performance once per quarter,0
The contract provides a mutual indemnity framework,0
Damages are capped and limited to reasonable amounts,0
Both parties retain equal rights to terminate for cause,0
Responsibilities are clearly documented and allocated,0
Dispute resolution is balanced and includes mediation,0
Termination requires 60 days written notice by either party,0
The clause sets a reasoned liability cap and insurance requirement,0
All obligations are defined and measurable,0
Each party has clear and reciprocal confidentiality duties,0
Contract includes fair termination and transition assistance,0
Penalties for breach are proportional and predefined,0
Supplier is liable only for breaches caused by its own conduct,0
Customer may terminate on vendor material breach with cure period,0
The agreement defines scope and excludes ambigous terms,0
Rights and duties are balanced with equal dispute rights,0
Reasonable limitation of liability is stated explicitly,0
Both sides approve changes through written amendment,0
Performance metrics are clear and monitored regularly,0
Contract offers fair indemnity limits and mutual protection,0
The vendor must provide 30 days notice before changes,0
Service levels are quantifiable and enforceable,0
The agreement includes a mutual termination process,0
Each party can terminate with a 30-day cure period,0
Claims are limited to three years from event date,0
Liability exclusions are not allowed for willful misconduct,0
Pricing adjustments must be agreed in writing,0
The contract has a defined scope and balanced responsibilities,0
Customer can suspend services for nonpayment with notice,0
Both parties maintain equal rights over data use,0
Seller commits to delivering according to milestone schedule,0
Termination triggers equitable wind-down obligations,0
Supplier must provide regular compliance reports,0
The clause protects both parties with mutual remedies,0
Contract is balanced and defines each party’s obligations,0
Payment terms are clear and include grace period,0
Force majeure term is mutual and narrowly defined,0
Renewal is optional and requires written agreement,0
Data security responsibilities are shared and explicit,0
Both parties have the right to terminate on insolvency,0
Party may request written approval for subcontracting,0
Liability cap is tied to fees paid in last 12 months,0
Services are defined in precise deliverables and timelines,0
Notice periods and dispute escalation steps are explicit,0
